prefix,syl_link_name
BI,BIO
BIO,BIO
BIOED,BIO
SCIED,BIO
CH,CH
CHEM,CH
MSE,CH
MATSE,CH
CHEMED,CH
CHN,CHN
CSP,CHN
COM,COM
COMM,COM
JRN,COM
CPA,CPA
EDUC,CPA
ELM,ELM
DS,DS
DEV,DS
EC,EC
ECON,EC
ED,ED
EDCSP,ED
CE,ECE
CIE,ECE
ECE,ECE
ELC,ECE
ENGG,ECE
ENGMA,ECE
ENGPS,ECE
ENGSCI,ECE
TCOM,ECE
EN,EN
ENE,EN
ENGL,EN
ENLIT,EN
ENLL,EN
LIT,EN
DIRR,ES
ENVI,ES
ES,ES
MEM,ES
ENVIMOD/DATSC,ES
EU,EU
EURO,EU
FIL,FIL
FILI,FIL
PNTKN,FIL
ACC,FAA
ACCT,FAA
FIN,FAA
FINN,FAA
ARTM,FA
ARTS,FA
CRWR,FA
FA,FA
FA-CW,FA
FA-ID,FA
IDES,FA
IMAT,FA
THTR,FA
HS,HSCI
HSCI,HSP
HI,HI
HISTO,HI
ArtAp,SOHUM
DLQ,SOHUM
CS,DISCS
CSCI,DISCS
GDEV,DISCS
ISCS,DISCS
MIS,DISCS
MSYS,DISCS
INTACT,INTAC
HUM,IS
HUMAN,IS
IDS,IS
IS,IS
JPN,JSP
JSP,JSP
KOR,KSP
KRN,KSP
LS,LAS
LAS,LAS
SOMGT,LAS
CTK,MAL
LAW,MAL
LLAW,MAL
MKT,MAL
MKTG,MAL
AMC,MA
AMF,MA
MA,MA
MATH,MA
MTHED,MA
STAT,MA
FLC,ML
FRE,ML
GER,ML
ITA,ML
PORT,ML
RUSS,ML
SPA,ML
PH,PH
PHILO,PH
PE,PE
PHYED,PE
ATMOS,PS
PHYS,PS
PHYSE,PS
PS,PS
POLSC,POS
POS,POS
POSPM,POS
PM,POS
SEAS,POS
LEAD,PSY
PSY,PSY
PSYC,PSY
DEC,QMIT
DECSC,QMIT
DECSCI,QMIT
ITE,QMIT
ITENT,QMIT
ITM,QMIT
ITMGT,QMIT
OPMAN,QMIT
POM,QMIT
QMT,QMIT
QUANT,QMIT
SCI,SB
STS,SB
SocSc,SOCSCI
ANTH,SA
SA,SA
SOAN,SA
SOCDV,SA
SOCIO,SA
RE,TH
RELED,TH
TH,TH
THEO,TH
TMP,TMP
TMPSS,TMP