Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
DIRR 201,Q,THEORY AND PRACTICE OF DISASTER RISK AND RESILIENCE,3,"T-F 1830-2000
(FULLY ONLINE)",CTC 106,"TBA, -",12,ENG,G,12,-,N,N
DIRR 202,YW,HAZARD ASSESSMENT,3,"W 1700-2000
(FULLY ONLINE)",SEC-A205,"MAQUILING, JOEL T.",5,ENG,G,5,-,N,N
DIRR 203,GTH,"RISK AND RESILIENCE: FOCUS ON CLIMATE DISASTERS, DEVELOPMENT AND HUMANITARIAN ACTION",3,"TH 1700-2000
(FULLY ONSITE)",SEC-A205,"PORIO, EMMA E.",12,ENG,G,12,-,N,N
DIRR 298.1,PF,PROJECT I,3,"F 1700-2000
(FULLY ONSITE)",TBA,"PORIO, EMMA E.",3,ENG,G,3,-,N,N
DIRR 298.1,WX1,PROJECT I,3,"W 1400-1700
(FULLY ONLINE)",SEC-A205,"PORIO, EMMA E.",1,ENG,G,1,-,N,N
DIRR 298.2,YW,PROJECT II,6,"W 1700-2000
(FULLY ONSITE)",CTC 106,"PORIO, EMMA E.",12,ENG,G,12,-,N,N
ENVI 10.01,E,"INTRODUCTION TO ENVIRONMENTAL SCIENCE, LECTURE",3,"M-TH 1400-1530
(FULLY ONSITE)",CTC 106,"DAYRIT, SOPHIA ANGELI S., GUZMAN, MA AILEEN LEAH G.",30,ENG,U,30,*ALL SLOTS FOR BS ES MAJORS.,N,N
ENVI 10.01,NSCLEC-CD-A,"INTRODUCTION TO ENVIRONMENTAL SCIENCE, LECTURE",3,"M-TH 0800-0930
(FULLY ONSITE)",SEC-A205,"FELICIANO, Giannina Nicole",30,ENG,U,30,-,N,N
ENVI 10.01,NSCLEC-CE-L,"INTRODUCTION TO ENVIRONMENTAL SCIENCE, LECTURE",3,"T-F 1100-1230
(FULLY ONSITE)",SEC-A205,"FELICIANO, Giannina Nicole",30,ENG,U,30,-,N,N
ENVI 10.01,NSCLEC-CG-K,"INTRODUCTION TO ENVIRONMENTAL SCIENCE, LECTURE",3,"T-F 0930-1100
(FULLY ONSITE)",SEC-A205,"DAYRIT, SOPHIA ANGELI S.",30,ENG,U,30,-,N,N
ENVI 10.02,NSCLAB-CC-BC,"INTRODUCTION TO ENVIRONMENTAL SCIENCE, LABORATORY",1,"M 1000-1200
(FULLY ONSITE)",SEC-C306A,"FAVIS, ABIGAIL MARIE T.",30,ENG,U,30,-,N,N
ENVI 10.02,NSCLAB-CD-BC1,"INTRODUCTION TO ENVIRONMENTAL SCIENCE, LABORATORY",1,"TH 1000-1200
(FULLY ONSITE)",SEC-C306A,"DAYRIT, SOPHIA ANGELI S.",30,ENG,U,30,-,N,N
ENVI 10.02,NSCLAB-CE-DE,"INTRODUCTION TO ENVIRONMENTAL SCIENCE, LABORATORY",1,"M 1230-1430
(FULLY ONSITE)",SEC-C306A,"FELICIANO, Giannina Nicole",30,ENG,U,30,-,N,N
ENVI 10.02,NSCLAB-CG-EF,"INTRODUCTION TO ENVIRONMENTAL SCIENCE, LABORATORY",1,"M 1500-1700
(FULLY ONSITE)",SEC-C306A,"FELICIANO, Giannina Nicole",30,ENG,U,30,-,N,N
ENVI 21i,N,CLIMATE AND EARTH SYSTEMS,3,"T-F 1400-1530
(FULLY ONSITE)",CTC 106,"FELICIANO, Giannina Nicole",40,ENG,U,40,*20 BS ES; 20 Open to all,N,N
ENVI 110.01,J1,"ENVIRONMENTAL ECOLOGY, LECTURE",3,"T-F 0800-0930
(FULLY ONSITE)",CTC 106,"MENDOZA, Milette",40,ENG,U,40,-,N,N
ENVI 110.02,LAB2-KL2,"ENVIRONMENTAL ECOLOGY, LABORATORY",2,"F 1000-1200
(FULLY ONSITE)",SEC-C306A,"MENDOZA, Milette",40,ENG,U,40,*40 SLOT(S) FOR BS ES MAJORS.,N,N
ENVI 140.05,ST2,FUNDAMENTALS OF WATER AND WATER POLLUTION,3,"SAT 0800-1100
(FULLY ONSITE)",CTC 106,"ABAÃ‘O, Susan",30,ENG,U,30,*FOR BS ES MAJORS ONLY,N,N
ENVI 160.01,N,"INTRODUCTION TO ENVIRONMENTAL POLLUTION, LECTURE",3,"T-F 1400-1530
(FULLY ONSITE)",SEC-A205,"GUTIERREZ-TAN, JANINA R.",30,ENG,U,30,-,N,N
ENVI 160.02,LAB1-JL,"INTRODUCTION TO ENVIRONMENTAL POLLUTION, LABORATORY",2,"T 0800-1200
(FULLY ONSITE)",SEC-C306A,"GUTIERREZ-TAN, JANINA R.",30,ENG,U,30,*ALL SLOTS FOR BS ES MAJORS.,N,N
ENVI 173i,B,BIOCULTURAL DIVERSITY: LINKING CULTURE AND ENVIRONMENT,3,"M-TH 0930-1100
(FULLY ONSITE)",CTC 106,"SATUMBAGA, DAWN IVA P.",30,ENG,U,30,30 SLOT(S) FOR ES STUDENTS.,N,N
ENVI 177.04i,UV2,ENVIRONMENTAL MANAGEMENT FOR SUSTAINABILITY,3,"SAT 1100-1400
(FULLY ONSITE)",CTC 106,"GUEVARA, Gabrielle Ann",30,ENG,U,30,10 SLOT(S) FOR SUST SPECIALIZATION. 15 SLOT(S) FOR BS ES MAJORS. *10 SLOT(S) FOR SUST SPECIALIZATION. 15 SLOT(S) FOR BS ES MAJORS. 5 FREE FOR ALL,N,N
ENVI 199.1,ST1,SENIOR THESIS I,3,"W 0800-1100
(FULLY ONSITE)",CTC 106,"GUZMAN, MA AILEEN LEAH G., WAGAS, Ethel",30,ENG,U,30,-,N,N
ENVI 214,P1,RESOURCE GEOLOGY,3,"T-F 1700-1830
(FULLY ONSITE)",CTC 106,"CLAVERIA, RENE JUNA R.",12,ENG,G,12,*To validate with ENVI 314,N,N
ENVI 265,H1,ADVANCED ENVIRONMENTAL HEALTH AND SAFETY,3,"M-TH 1830-2000
(FULLY ONLINE)",TBA,"GUZMAN, MA AILEEN LEAH G.",3,ENG,G,3,-,N,N
ENVI 274,ZZZ9,WASTE MANAGEMENT,3,"TUTORIAL 0000-0000
(FULLY ONSITE)",CTC 106,"BUENAFLOR, Katherine",30,ENG,G,30,-,N,N
ENVI 276,YYY6,ENVIRONMENTAL IMPACT ASSESSMENT,3,"TBA
(FULLY ONSITE)",CTC 106,"PEREZ, TERESITA R.",30,ENG,G,30,*To validate with ENVI 276 and MEM 276,N,N
ENVI 278,TWOD10,NATURAL RESOURCE MANAGEMENT,3,"TBA
(FULLY ONSITE)",CTC 106,"PEREZ, TERESITA R.",30,ENG,G,30,-,N,N
ENVI 299.1,THES/DISS1,THESIS 1 (RESEARCH DESIGN),0,"TBA
(FULLY ONLINE)",TBA,"CABACUNGAN, PAUL M., GUTIERREZ-TAN, JANINA R., GUZMAN, MA AILEEN LEAH G.",2,ENG,G,2,-,N,N
ENVI 299.1,THES/DISS2,THESIS 1 (RESEARCH DESIGN),0,"TBA
(FULLY ONSITE)",TBA,"CLAVERIA, RENE JUNA R.",1,ENG,G,1,*ROOM: MO 307,N,N
ENVI 312,E,PRINCIPLES OF TROPICAL ECOLOGY,3,"M-TH 1400-1530
(FULLY ONSITE)",SEC-A205,"PEREZ, TERESITA R., TBA, -",30,ENG,G,30,-,N,N
ENVI 314,P1,RESOURCE GEOLOGY,3,"T-F 1700-1830
(FULLY ONSITE)",CTC 106,"CLAVERIA, RENE JUNA R.",12,ENG,G,12,*To validate with ENVI 214,N,N
ENVI 340,H2,CONTEMPORARY CHALLANGES IN ENVIRONMENTAL SCIENCE AND MANAGEMENT,3,"M-TH 1830-2000
(FULLY ONLINE)",TBA,"TBA, -",12,ENG,G,12,-,N,N
ENVI 376,YYY6,ENVIRONMENTAL IMPACT ASSESSMENT,3,"TBA
(FULLY ONSITE)",SEC-A205,"TBA, -",30,ENG,G,30,*To validate with ENVI 276 and ENVI 376,N,N
ENVI 399.1,JT2,DISSERTATION WRITING I,6,"T 0800-0900
(FULLY ONSITE)",SEC-A205,"GUZMAN, MA AILEEN LEAH G.",2,ENG,G,2,-,N,N
MEM 223,ZZZ9,ENVIRONMENTAL STANDARDS AND TECHNOLOGIES,3,"TUTORIAL 0000-0000
(FULLY ONSITE)",CTC 106,"GUZMAN, MA AILEEN LEAH G., ROMARATE, Rodolfo II",30,ENG,G,30,-,N,N
MEM 274,ZZZ9,WASTE MANAGEMENT,3,"TUTORIAL 0000-0000
(FULLY ONSITE)",CTC 106,"BUENAFLOR, Katherine",30,ENG,G,30,-,N,N
MEM 276,YYY6,ENVIRONMENTAL IMPACT ASSESSMENT,3,"TBA
(FULLY ONSITE)",CTC 106,"PEREZ, TERESITA R.",30,ENG,G,30,*To validate with ENVI 276 and ENVI 376,N,N
MEM 298,C,MASTER'S PROJECT,2,"M-TH 1100-1230
(FULLY ONSITE)",CTC 106,"GUZMAN, MA AILEEN LEAH G.",1,ENG,G,1,-,N,N
